primary key, precinct, population, polygon type
"3891", "Manchester", "461.0", "MultiPolygon"
"3895", "Water: Puget Sound Leg 26", "0.0", "Polygon"
"3896", "Water: Hood Canal Leg 23", "0.0", "Polygon"
"3897", "Water: Hood Canal Leg 35", "0.0", "Polygon"
"3949", "Belfair Valley", "0.0", "Polygon"
"3967", "Tin Mine Creek", "0.0", "MultiPolygon"
"3968", "Camp Sundown", "8.0", "MultiPolygon"
"3980", "Bremerton 294", "0.0", "Polygon"
"3981", "Inlet View", "0.0", "Polygon"
"3982", "Port Orchard 208", "0.0", "Polygon"
"3983", "Berry Lake", "0.0", "Polygon"
"3984", "Water: Bainbridge Island", "0.0", "Polygon"
"3985", "Drive-In", "0.0", "Polygon"
"3986", "Port Orchard 207", "0.0", "Polygon"
"3988", "Cliffdell", "0.0", "Polygon"
"3996", "Canyon", "162.0", "MultiPolygon"
"4006", "Cle Elum 1", "306.0", "MultiPolygon"
"4008", "Kittitas 2", "340.0", "MultiPolygon"
"4012", "Sanders", "253.0", "MultiPolygon"
"4021", "Park", "521.0", "MultiPolygon"
"4022", "North Ellensburg", "501.0", "MultiPolygon"
"4026", "Kittitas 1", "294.0", "MultiPolygon"
"4068", "Bingen", "281.0", "MultiPolygon"
"4072", "North Fruit Valley", "481.0", "MultiPolygon"
"4077", "Woodland", "1038.0", "MultiPolygon"
"4105", "North Jackson", "0.0", "Polygon"
"4113", "Temple", "588.0", "MultiPolygon"
"4117", "Seminary Hill", "362.0", "MultiPolygon"
"4118", "Sears", "399.0", "MultiPolygon"
"4119", "Salzer", "358.0", "MultiPolygon"
"4135", "Harmony", "596.0", "MultiPolygon"
"4160", "Morton", "595.0", "MultiPolygon"
"4164", "Wilbur Inside", "587.0", "MultiPolygon"
"4168", "Davenport Inside", "1071.0", "MultiPolygon"
"4172", "Wheatland", "125.0", "MultiPolygon"
"4181", "Sherman", "85.0", "MultiPolygon"
"4185", "Seven Bays", "117.0", "MultiPolygon"
"4186", "Egypt", "174.0", "MultiPolygon"
"4188", "Mondovi", "126.0", "MultiPolygon"
"4204", "Water: Spokane River", "0.0", "MultiPolygon"
"4205", "Water: Columbia River", "0.0", "Polygon"
"4206", "Lakeview", "142.0", "MultiPolygon"
"4264", "Mountain View", "391.0", "MultiPolygon"
"4286", "Conconully City", "136.0", "MultiPolygon"
"4298", "Oroville 5", "109.0", "MultiPolygon"
"4303", "Oroville 10", "76.0", "MultiPolygon"
"4348", "West Chewuch", "120.0", "MultiPolygon"
"4357", "Omak River", "78.0", "MultiPolygon"
"4406", "Omak 11", "131.0", "MultiPolygon"
"4415", "Omak 20", "76.0", "MultiPolygon"
"4448", "Elmway", "125.204", "MultiPolygon"
"4467", "Lewis Butte", "135.0", "MultiPolygon"
"4488", "Omak 1", "73.0", "MultiPolygon"
"4504", "Raymond Ward 2", "346.0", "MultiPolygon"
"4509", "Ilwaco 2 Rural", "128.0", "MultiPolygon"
"4517", "South Bend 1 Rural", "9.0", "MultiPolygon"
"4527", "Diamond Lake", "0.0", "Polygon"
"4528", "Diamond Lake West", "0.0", "Polygon"
"4529", "Deer Valley South", "0.0", "Polygon"
"4530", "Fertile Valley South", "0.0", "Polygon"
"4531", "Newport Southwest", "0.0", "Polygon"
"4532", "Newport Southeast", "0.0", "Polygon"
"4533", "Newport Northeast", "0.0", "Polygon"
"4534", "Newport Northwest", "0.0", "Polygon"
"4535", "Furport", "0.0", "Polygon"
"4536", "Skookum", "0.0", "Polygon"
"4537", "Fertile Valley North", "0.0", "Polygon"
"4538", "Locke", "0.0", "Polygon"
"4539", "Ruby", "0.0", "Polygon"
"4540", "Tiger - Dry Canyon", "0.0", "Polygon"
"4541", "Ione West", "0.0", "Polygon"
"4542", "Ione East", "0.0", "Polygon"
"4543", "Sacheen", "0.0", "Polygon"
"4544", "Metaline Falls", "0.0", "Polygon"
"4545", "Dalkena", "0.0", "Polygon"
"4546", "Deer Valley North", "0.0", "Polygon"
"4547", "Metaline", "0.0", "Polygon"
"4548", "Diamond Lake East", "0.0", "Polygon"
"4549", "Camden", "0.0", "Polygon"
"4550", "Noble", "0.0", "Polygon"
"4551", "Usk", "0.0", "Polygon"
"4552", "Cusick", "0.0", "Polygon"
"4553", "Kalispel - LeClerc", "0.0", "Polygon"
"4594", "28-462", "797.0", "MultiPolygon"
"4598", "26-227", "2685.0", "MultiPolygon"
"4602", "26-223", "1552.0", "MultiPolygon"
"4604", "Water: Puget Sound Leg 27", "0.0", "Polygon"
"4605", "Water: City of Tacoma Leg 27", "0.0", "MultiPolygon"
"4606", "Water: Puget Sound Leg 28", "0.0", "Polygon"
"4607", "Water: Tacoma Narrows Leg 26", "0.0", "Polygon"
"4615", "28-451", "602.0", "MultiPolygon"
"4640", "26-214", "2628.0", "MultiPolygon"
"4644", "31-641", "165.0", "MultiPolygon"
"4652", "31-618", "9.0", "MultiPolygon"
"4657", "25-181", "80.0", "MultiPolygon"
"4658", "31-638", "1015.0", "MultiPolygon"
"4659", "31-636", "0.0", "MultiPolygon"
"4669", "28-426", "0.0", "Polygon"
"4670", "28-425", "0.0", "Polygon"
"4680", "31-624", "1710.0", "MultiPolygon"
"4681", "31-623", "2053.0", "MultiPolygon"
"4682", "31-622", "1568.0", "MultiPolygon"
"4683", "31-621", "2059.0", "MultiPolygon"
"4685", "31-617", "0.0", "MultiPolygon"
"4694", "25-178", "0.0", "Polygon"
"4696", "25-176", "0.0", "MultiPolygon"
"4705", "31-604", "465.0", "MultiPolygon"
"4760", "28-413", "494.0", "MultiPolygon"
"4763", "28-405", "546.0", "MultiPolygon"
"4774", "29-547", "0.0", "Polygon"
"4785", "27-360", "0.0", "Polygon"
"4787", "27-358", "106.0", "MultiPolygon"
"4791", "29-531", "21.0", "MultiPolygon"
"4802", "27-346", "0.0", "Polygon"
"4806", "25-135", "5.0", "MultiPolygon"
"4810", "25-129", "3.0", "MultiPolygon"
"4812", "25-127", "5.0", "MultiPolygon"
"4814", "Water: Colvos Passage Leg 26", "0.0", "Polygon"
"4815", "Water: Gig Harbor", "0.0", "Polygon"
"4816", "Water: Wollochet Bay", "0.0", "Polygon"
"4817", "Water: Filucy Bay", "0.0", "Polygon"
"4818", "Water: Mayo Cove", "0.0", "Polygon"
"4819", "Water: Van Geldern Cove", "0.0", "Polygon"
"4820", "Water: Burley Lagoon", "0.0", "Polygon"
"4821", "Water: Vaughn Bay", "0.0", "Polygon"
"4822", "Water: Rocky Bay", "0.0", "Polygon"
"4823", "Water: Case Inlet Leg 26", "0.0", "Polygon"
"4824", "Water: Puget Sound Leg 26", "0.0", "Polygon"
"4825", "Water: Carr Inlet", "0.0", "Polygon"
"4832", "29-514", "0.0", "Polygon"
"4848", "25-119", "0.0", "Polygon"
"4864", "27-330", "0.0", "Polygon"
"4868", "25-113", "0.0", "Polygon"
"4873", "31-672", "212.0", "MultiPolygon"
"4941", "28-457", "193.0", "MultiPolygon"
"4943", "27-329", "68.0", "MultiPolygon"
"4944", "25-175", "0.0", "Polygon"
"4945", "27-331", "0.0", "MultiPolygon"
"4946", "25-115", "0.0", "Polygon"
"4947", "27-355", "0.0", "Polygon"
"4948", "26-203", "0.0", "Polygon"
"4949", "26-204", "0.0", "Polygon"
"4950", "26-231", "0.0", "Polygon"
"4953", "San Juan 5", "808.0", "MultiPolygon"
"4966", "Friday Harbor 1", "723.0", "MultiPolygon"
"4968", "Sedro-Woolley 6", "0.0", "Polygon"
"4969", "Sedro-Woolley 5", "0.0", "MultiPolygon"
"4970", "Sedro-Woolley 3", "0.0", "Polygon"
"4971", "Sedro-Woolley 2", "0.0", "Polygon"
"4972", "Sedro-Woolley 7", "0.0", "Polygon"
"4973", "Sedro-Woolley 1", "0.0", "Polygon"
"4974", "Fruitdale", "0.0", "Polygon"
"4975", "Collins", "0.0", "Polygon"
"4976", "Mapes", "0.0", "Polygon"
"4977", "Sterling", "0.0", "Polygon"
"4978", "Cedardale", "0.0", "Polygon"
"4979", "Mount Vernon 26", "0.0", "MultiPolygon"
"4980", "Mount Vernon 27", "0.0", "Polygon"
"4981", "Skyridge", "0.0", "Polygon"
"4982", "Mount Vernon 11", "0.0", "Polygon"
"4983", "Mount Vernon 8", "0.0", "Polygon"
"4984", "Mount Vernon 16", "0.0", "Polygon"
"4985", "Mount Vernon 10", "0.0", "Polygon"
"4986", "Mount Vernon 12", "0.0", "Polygon"
"4987", "Mount Vernon 9", "0.0", "Polygon"
"4988", "Mount Vernon 7", "0.0", "Polygon"
"4989", "Mount Vernon 1", "0.0", "Polygon"
"4990", "Mount Vernon 2", "0.0", "Polygon"
"4991", "Mount Vernon 28", "0.0", "Polygon"
"4992", "Mount Vernon 5", "0.0", "Polygon"
"4993", "Dunbar", "0.0", "Polygon"
"4994", "Riverbend", "0.0", "Polygon"
"4995", "Mount Vernon 6", "0.0", "Polygon"
"4996", "Mount Vernon 15", "0.0", "Polygon"
"4997", "Mount Vernon 22", "0.0", "Polygon"
"4998", "Mount Vernon 19", "0.0", "Polygon"
"4999", "Mount Vernon 14", "0.0", "Polygon"
"5000", "Mount Vernon 3", "0.0", "Polygon"
"5001", "Mount Vernon 21", "0.0", "Polygon"
